鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
大同區,房地(土地+建物)+車位,臺北市大同區萬全街1~30號,14.09,商,,,1071205,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,190.5,3,2,2,有,有,39320000,206404,坡道平面,46.87,0,向政府機關承購之案件。;,RPPPMLLKJHOFFBA27DA
萬華區,房地(土地+建物),臺北市萬華區青年路61~90號,28.84,住,,,1071116,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711027,120.72999999999999,3,2,1,有,有,15700000,130042,,0.0,0,,RPUOMLTKJHOFFBA48DA
內湖區,房地(土地+建物),臺北市內湖區康樂街136巷15弄1~30號,25.27,商,,,1071115,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740321,90.83,3,2,2,有,無,10380000,114279,,0.0,0,含增建或未登記建物。,RPVQMLPLKINFFCA68DA
中山區,房地(土地+建物),臺北市中山區農安街1~30號,9.49,商,,,1071203,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0730227,69.82000000000001,2,2,2,有,有,11860000,169865,,0.0,0,,RPUOMLRKJHOFFCA38DA
松山區,房地(土地+建物),臺北市松山區八德路四段1~30號,14.02,住,,,1071022,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,0920417,92.14,2,1,1,有,有,22500000,244194,,0.0,0,含增建或未登記建物。,RPSNMLPLKINFFDA18DA
南港區,房地(土地+建物)+車位,臺北市南港區南港路二段178巷1~30號,28.22,住,,,1071120,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821123,134.75,2,1,1,有,有,17500000,192111,坡道平面,56.67,2500000,含增建或未登記建物。,RPQPMLQLKINFFDA28DA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路157巷36弄91~120號,59.25,住,,,1071114,土地1建物1車位2,十七層，十八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030306,387.2,5,2,3,有,有,84000000,262750,坡道平面,90.34,6000000,,RPTNMLQJJHOFFDA08DA
北投區,房地(土地+建物),臺北市北投區中和街31~60號,4.03,商,,,1071109,土地1建物1車位0,七層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690821,30.68,1,1,1,有,有,3280000,106910,,0.0,0,含增建或未登記建物。,RPOPMLMLKINFFEA77DA
北投區,房地(土地+建物),臺北市北投區豐年路二段61~90號,13.17,住,,,1071111,土地1建物1車位0,二層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0661229,50.71,1,1,1,有,無,4500000,88740,,0.0,0,含增建或未登記建物。,RPPNMLNLKINFFEA77DA
北投區,房地(土地+建物)+車位,臺北市北投區一德街31~60號,56.99,住,,,1071117,土地2建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1011016,136.95,3,2,2,有,有,15300000,115336,坡道機械,17.3,1500000,含增建或未登記建物。,RPTNMLNLKINFFEA18DA
北投區,房地(土地+建物),臺北市北投區公館路350巷31~60號,22.0,住,,,1071116,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0581103,29.66,5,3,3,有,無,3200000,107889,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLSLKINFFEA38DA
北投區,房地(土地+建物),臺北市北投區公館路350巷31~60號,22.0,住,,,1071116,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0581103,29.66,5,3,3,有,無,3200000,107889,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLSLKINFFEA58DA
