鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
西屯區,房地(土地+建物)+車位,臺中市西屯區惠中路一段181~210號,15.92,商,,,1071101,土地1建物1車位2,五層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,990211.0,298.5800000000001,0,0,0,無,有,24500000,82055.0,坡道平面,19.82,0,,RPROMLPLKINFFCB08CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩六街211~240號,12.09,住,,,1071101,土地1建物1車位1,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820112.0,77.27,2,1,1,有,有,3360000,43484.0,坡道機械,0.0,0,,RPTQMLOLKINFFCB38CA
南屯區,房地(土地+建物)+車位,臺中市南屯區黎明東街331~360號,13.64,住,,,1071101,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850718.0,135.04,3,2,2,有,有,8250000,61093.0,坡道機械,0.0,0,含增建或未登記建物。,RPXQMLOLKINFFCB78CA
北屯區,房地(土地+建物)+車位,臺中市北屯區瀋陽路三段1~30號,11.95,商,,,1071101,土地1建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990909.0,151.76,3,2,2,有,有,10500000,69188.0,坡道平面,20.9,0,,RPROMLSJJHOFFBB97CA
北屯區,房地(土地+建物)+車位,臺中市北屯區梅川東路五段451~480號,36.27,住,,,1071101,土地1建物1車位2,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980611.0,309.28,5,2,2,有,有,19270000,67460.0,坡道平面,56.24,2200000,,RPOPMLLMKINFFBB47CA
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段271~300號,10.5,住,,,1071101,土地1建物1車位1,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725.0,125.14,2,2,2,有,有,9610000,76794.0,坡道平面,27.23,0,,RPTRMLSLKINFFBB78CA
北區,房地(土地+建物)+車位,臺中市北區太原一街1~30號,13.27,住,,,1071101,土地1建物2車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830623.0,128.55,3,2,2,有,有,7250000,56403.0,坡道機械,0.0,0,,RPWRMLPLKINFFBB78CA
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹五路二段181~210號,15.65,住,,,1071201,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020927.0,141.62,3,2,2,有,有,7480000,52817.0,坡道機械,0.0,0,,RPQSMLPLKINFFBB28CA
北區,房地(土地+建物)+車位,臺中市北區五常街361~390號,3.06,商,,,1071201,土地1建物1車位1,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971128.0,45.72,1,1,1,有,有,3300000,72178.0,坡道機械,14.86,0,,RPSPMLOLKINFFBB08CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十六路271~300號,13.95,商,,,1071101,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613.0,159.72,3,2,2,有,有,8200000,51340.0,坡道平面,30.97,0,,RPVPMLMLKINFFBB18CA
南區,房地(土地+建物)+車位,臺中市南區忠明南路777巷1~30號,27.53,住,,,1071001,土地1建物2車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870507.0,232.45,5,2,2,有,有,10500000,45171.0,坡道機械,18.84,0,,RPVNMLQLKINFFAB28CA
南區,房地(土地+建物),臺中市南區學府路168巷1~30號,3.88,住,,,1071201,土地3建物1車位0,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860428.0,44.62000000000001,1,1,1,有,有,1200000,26894.0,,0.0,0,,RPQNMLTLKINFFAB08CA
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段482巷31~60號,23.14,住,,,1071201,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830824.0,236.86,5,1,3,有,有,10500000,44330.0,坡道平面,0.0,0,,RPRQMLSLKINFFAB38CA
南區,房地(土地+建物)+車位,臺中市南區工學北路61~90號,7.99,商,,,1071101,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,861224.0,108.01,2,2,1,有,有,5000000,44682.0,坡道機械,5.06,400000,,RPURMLRJJHOFFAB38CA
北區,房地(土地+建物)+車位,臺中市北區中清路一段87巷1~30號,17.3,商,,,1071201,土地2建物1車位1,十四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790416.0,222.78,5,2,2,有,有,10500000,47278.0,坡道平面,26.07,1200000,含增建或未登記建物。,RPUOMLLMKINFFBB97CA
北屯區,房地(土地+建物),臺中市北屯區崇德路二段271~300號,11.71,住,,,1071201,土地1建物1車位0,十一層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870417.0,147.73000000000005,3,2,2,有,無,8050000,54491.0,,0.0,0,,RPUNMLSJJHOFFBB18CA
北區,房地(土地+建物)+車位,臺中市北區太原路二段61~90號,26.98,商,,,1071201,土地1建物1車位2,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010213.0,229.19,4,2,2,有,有,16180000,70596.0,坡道平面,57.98,0,,RPRQMLRKJHOFFBB18CA
北區,房地(土地+建物),臺中市北區衛道路241~270號,9.83,商,,,1071101,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,881120.0,98.42,3,2,2,有,有,5200000,52835.0,,0.0,0,,RPSQMLRKJHOFFBB28CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩十七街91~120號,11.76,住,,,1071101,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940215.0,124.31,3,2,1,有,有,9980000,80283.0,坡道平面,21.35,0,,RPVOMLPLKINFFCB48CA
西屯區,房地(土地+建物)+車位,臺中市西屯區漢口路二段91~120號,12.72,住,,,1071101,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850710.0,163.95,3,2,2,有,有,9960000,60750.0,坡道平面,0.0,0,,RPRQMLPLKINFFCB28CA
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道四段1201~1230號,19.23,住,,,1071101,土地1建物1車位2,二十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980506.0,280.63,4,2,2,有,有,19800000,77537.0,坡道平面,56.22,2400000,,RPXNMLTLKINFFCB98CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路61~90號,15.53,住,,,1071101,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960907.0,140.79000000000005,3,2,2,有,有,9680000,68755.0,坡道平面,20.99,0,,RPXOMLNJJHOFFCB18CA
南屯區,房地(土地+建物)+車位,臺中市南屯區豐富路181~210號,29.12,住,,,1071001,土地1建物1車位2,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980330.0,281.5900000000001,4,2,2,有,有,22000000,78128.0,坡道平面,0.0,0,,RPRQMLRJJHOFFCB18CA
南屯區,房地(土地+建物)+車位,臺中市南屯區五權西路二段661~690號,17.1,住,,,1071101,土地1建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860227.0,186.84,4,2,2,有,有,10080000,53950.0,坡道機械,0.0,0,,RPSPMLLKJHOFFCB67CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩六街211~240號,12.89,住,,,1071101,土地1建物2車位1,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820112.0,82.41,1,1,1,有,有,4720000,57275.0,坡道機械,0.0,0,,RPQPMLOKJHOFFCB77CA
清水區,房地(土地+建物)+車位,臺中市清水區建國路121~150號,60.72,住,,,1071201,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940927.0,204.12,4,2,2,有,有,3597861,17626.0,坡道平面,0.0,0,,RPVNMLSLKINFFFB98CA
南屯區,房地(土地+建物),臺中市南屯區大墩六街211~240號,9.9,住,,,1071201,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820112.0,62.31,1,1,1,有,有,3980000,63874.0,,0.0,0,,RPQPMLTKJHOFFCB28CA
